DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 100237211T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"1002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:30,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
100246610,Instrumentation Engineering,30,30,0,0,0,0,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,9,4,3,1,1,1,1,0,0,0,1,0,1,0,4,2,28,
PWD,1,0,0,0,0,0,0,0,1,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,1,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 3,Tution Fee Waiver Scheme Choice Code: 100246611T,Seats: 2,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"1002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
100261210,Mechanical Engineering,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,6,2,3,1,1,0,1,1,2,1,1,0,8,3,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 100261211T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2008 - Government College of Engineering,  Aurangabad",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
200819110,Civil Engineering,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,6,2,3,1,1,1,1,0,1,1,1,0,8,4,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 200819111T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2008 - Government College of Engineering,  Aurangabad",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
200824210,Computer Science and Engineering,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,6,2,3,1,1,0,1,1,1,1,1,0,8,4,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 200824211T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2008 - Government College of Engineering,  Aurangabad",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
200824610,Information Technology,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,6,2,3,1,1,1,1,1,1,1,1,0,8,3,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 200824611T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2008 - Government College of Engineering,  Aurangabad",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
200829310,Electrical Engineering,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,5,2,4,1,1,1,1,1,1,1,1,0,8,3,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 200829311T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2008 - Government College of Engineering,  Aurangabad",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
200837210,Electronics and Telecommunication Engg,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,6,2,3,1,1,1,1,0,1,1,1,0,8,4,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 200837211T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2008 - Government College of Engineering,  Aurangabad",,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
200861210,Mechanical Engineering,60,60,0,0,0,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,7,6,2,3,1,1,1,1,0,1,1,1,1,8,3,55,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 200861211T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:58,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202019110,Civil Engineering,60,58,0,0,2,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,17,7,5,2,3,1,1,1,1,1,1,1,1,0,8,3,53,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 202019111T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:118,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202024210,Computer Science and Engineering,120,118,0,0,2,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,36,16,11,5,6,2,2,1,2,1,3,1,1,1,15,6,109,
PWD,3,0,0,0,0,0,0,1,4,,,,,,,,,
PWD Common Reserved Seats : 2,,,,,,,,,,,,,,,,,,
DEF,3,0,0,0,0,0,0,1,4,,,,,,,,,
DEF Common Reserved Seats : 2,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 12,Tution Fee Waiver Scheme Choice Code: 202024211T,Seats: 6,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:58,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202024610,Information Technology,60,58,0,0,2,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,17,7,5,2,3,1,1,1,1,0,2,1,1,0,8,3,53,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 202024611T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:28,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202029310,Electrical Engineering,30,28,0,0,2,0,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,8,4,2,1,1,1,1,0,1,0,1,0,1,0,4,1,26,
PWD,1,0,0,0,0,0,0,0,1,,,,,,,,,
PWD Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,1,,,,,,,,,
DEF Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 3,Tution Fee Waiver Scheme Choice Code: 202029311T,Seats: 2,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:118,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202037210,Electronics and Telecommunication Engg,120,118,0,0,2,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,36,16,11,4,6,3,2,1,2,1,3,1,1,1,15,6,109,
PWD,3,0,0,0,0,0,0,1,4,,,,,,,,,
PWD Common Reserved Seats : 2,,,,,,,,,,,,,,,,,,
DEF,3,0,0,0,0,0,0,1,4,,,,,,,,,
DEF Common Reserved Seats : 2,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 12,Tution Fee Waiver Scheme Choice Code: 202037211T,Seats: 6,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:38,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202046610,Instrumentation Engineering,40,38,0,0,2,0,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,12,5,4,1,1,1,1,1,1,0,1,0,1,0,5,2,36,
PWD,1,0,0,0,0,0,0,0,1,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,1,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 4,Tution Fee Waiver Scheme Choice Code: 202046611T,Seats: 2,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:28,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202050710,Chemical Engineering,30,28,0,0,2,0,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,8,4,3,1,1,1,0,0,1,0,1,0,1,0,4,1,26,
PWD,1,0,0,0,0,0,0,0,1,,,,,,,,,
PWD Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,1,,,,,,,,,
DEF Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 3,Tution Fee Waiver Scheme Choice Code: 202050711T,Seats: 2,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:58,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202060610,Production Engineering,60,58,0,0,2,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,17,7,6,2,3,1,1,1,1,0,1,1,1,0,8,3,53,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 202060611T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:58,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202061210,Mechanical Engineering,60,58,0,0,2,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,17,7,6,2,3,1,1,0,1,1,1,1,1,0,8,3,53,
PWD,2,0,0,0,0,0,0,0,2,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,2,0,0,0,0,0,0,0,2,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 202061211T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2020 - Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",,,,,,,,,,,,,,,,,,
Government-Aided Autonomous,CAP Seats:28,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
202089610,Textile Technology,30,28,0,0,2,0,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,8,4,3,1,1,1,1,0,0,0,1,0,1,0,4,1,26,
PWD,1,0,0,0,0,0,0,0,1,,,,,,,,,
PWD Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,1,,,,,,,,,
DEF Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 3,Tution Fee Waiver Scheme Choice Code: 202089611T,Seats: 2,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2032 - Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",,,,,,,,,,,,,,,,,,
University Managed Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
203290410,Chemical Engineering,60,42,0,18,0,0,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,13,6,4,1,2,1,1,1,1,0,1,1,0,0,6,2,40,
PWD,1,0,0,0,0,0,0,0,1,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,1,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 203290411T,Seats: 3,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:30,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
211301110,Agricultural Engineering,30,25,0,5,0,0,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,7,3,3,1,1,1,1,0,0,0,1,0,1,0,3,1,23,
PWD,1,0,0,0,0,0,0,0,1,,,,,,,,,
PWD Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,1,,,,,,,,,
DEF Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 3,Tution Fee Waiver Scheme Choice Code: 211301111T,Seats: 2,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:180,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
211319110,Civil Engineering,180,153,0,27,0,2,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,47,20,12,5,8,3,4,1,3,1,4,1,2,1,19,8,139,
PWD,4,1,0,0,0,0,0,1,6,,,,,,,,,
PWD Common Reserved Seats : 2,,,,,,,,,,,,,,,,,,
DEF,4,1,0,0,0,0,0,1,6,,,,,,,,,
DEF Common Reserved Seats : 2,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 18,Tution Fee Waiver Scheme Choice Code:,Seats: 0,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,
"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:144,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,"InstituteSeats",Orphan,,,,,,,,,,,
211324210,Computer Science and Engineering,180,117,0,27,36,1,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,Total,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,36,15,11,4,6,2,3,1,2,1,3,1,1,1,15,6,108,
PWD,3,0,0,0,0,0,0,1,4,,,,,,,,,
PWD Common Reserved Seats : 2,,,,,,,,,,,,,,,,,,
