Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0100237211T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:30,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0100246610,Instrumentation Engineering,30,30,0,0,0,0,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,7,3,2,2,1,1,1,0,1,0,1,0,0,1,4,1,2,1,28,
PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 3,Tution Fee Waiver Scheme Choice Code: 0100246611T :                    Seats: 2,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01002 - Government College of Engineering, Amravati",,,,,,,,,,,,,,,,,,,,
Government Autonomous,CAP Seats:60,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0100261210,Mechanical Engineering,60,60,0,0,0,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,16,6,6,2,3,1,1,0,1,1,1,1,1,0,6,3,4,2,55,
PWD,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,1,0,2,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0100261211T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:120,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110519110,Civil Engineering,120,102,0,18,0,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,25,11,8,3,5,2,2,1,2,1,3,1,1,1,12,5,6,2,91,
PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
PWD Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
DEF Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 12,Tution Fee Waiver Scheme Choice Code: 0110519111T :                    Seats: 6,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:144,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110524210,Computer Science and Engineering,180,117,0,27,36,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,30,13,9,4,5,3,2,1,2,1,3,1,2,0,14,6,7,3,106,
PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 18,Tution Fee Waiver Scheme Choice Code: 0110524211T :                    Seats: 9,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:96,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110524610,Information Technology,120,78,0,18,24,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,18,8,5,3,5,1,2,1,2,0,2,1,0,1,9,4,5,2,69,
PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,,
PWD Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,,
DEF Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 12,Tution Fee Waiver Scheme Choice Code: 0110524611T :                    Seats: 6,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:96,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110526310,Artificial Intelligence (AI) and Data Science,120,78,0,18,24,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,19,8,6,2,3,2,1,1,1,1,2,1,2,0,8,4,5,3,69,
PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,,
PWD Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,,
DEF Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 12,Tution Fee Waiver Scheme Choice Code: 0110526311T :                    Seats: 6,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:48,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110526710,Computer Science and Engineering (IoT),60,39,0,9,12,0,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,10,4,4,1,2,1,1,0,1,0,1,0,1,0,5,2,3,1,37,
PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0110526711T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:96,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110537210,Electronics and Telecommunication Engg,120,78,0,18,24,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,19,8,5,3,4,1,2,1,1,1,2,1,0,1,9,3,6,2,69,
PWD,2,1,0,0,0,0,0,1,0,4,,,,,,,,,,
PWD Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
DEF,2,1,0,0,0,0,0,1,0,4,,,,,,,,,,
DEF Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 12,Tution Fee Waiver Scheme Choice Code: 0110537211T :                    Seats: 6,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:120,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110561210,Mechanical Engineering,120,102,0,18,0,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,25,11,8,3,5,2,2,1,2,1,3,1,2,0,12,5,5,3,91,
PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
PWD Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
DEF Common Reserved Seats : 0,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 12,Tution Fee Waiver Scheme Choice Code: 0110561211T :                    Seats: 6,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:48,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110719110,Civil Engineering,60,39,0,9,12,0,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,10,4,3,2,2,1,1,0,1,0,0,1,0,1,5,2,3,1,37,
PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0110719111T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:144,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110724210,Computer Science and Engineering,180,117,0,27,36,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,29,13,9,4,5,3,2,1,2,1,3,1,2,0,14,7,7,3,106,
PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 18,Tution Fee Waiver Scheme Choice Code: 0110724211T :                    Seats: 9,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:48,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110729310,Electrical Engineering,60,39,0,9,12,0,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,10,4,4,1,2,1,1,0,1,0,1,0,0,1,5,2,3,1,37,
PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0110729311T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:48,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110737210,Electronics and Telecommunication Engg,60,39,0,9,12,0,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,9,4,3,2,3,0,1,1,0,1,0,1,1,0,5,2,3,1,37,
PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0110737211T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:48,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110761210,Mechanical Engineering,60,39,0,9,12,0,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,10,4,4,1,1,1,1,0,1,0,1,0,1,0,6,2,3,1,37,
PWD,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 6,Tution Fee Waiver Scheme Choice Code: 0110761211T :                    Seats: 3,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:144,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110791110,"Computer Science and Engineering(ArtificialIntelligence and Machine Learning)",180,117,0,27,36,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,29,13,10,4,6,2,2,1,2,1,3,1,1,1,14,6,7,3,106,
PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 18,Tution Fee Waiver Scheme Choice Code: 0110791111T :                    Seats: 9,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,
"01107 - P. R. Pote Patil College of Engineering & Management, Amravati",,,,,,,,,,,,,,,,,,,,
Un-Aided Autonomous,CAP Seats:144,,,,,,,,,,,,,,,,,,,
Choice Code,Course Name,SI,MS Seats,Minority Seats,All India,Institute Seats,Orphan,,,,,,,,,,,,,
0110799510,Artificial Intelligence and Data Science,180,117,0,27,36,1,,,,,,,,,,,,,
Category,OPEN,SC,ST,VJ/DT,NTB,NTC,NTD,OBC,SEBC,Total,,,,,,,,,,
General / Ladies,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G,L,G + L,
State Level,30,13,9,4,6,3,3,1,2,0,3,1,2,0,14,6,6,3,106,
PWD,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
PWD Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
DEF,2,1,0,0,0,0,0,1,1,5,,,,,,,,,,
DEF Common Reserved Seats : 1,,,,,,,,,,,,,,,,,,,,
Economically Weaker Section (EWS) Seats: 18,Tution Fee Waiver Scheme Choice Code: 0110799511T :                    Seats: 9,,,,,,,,,,,,,,,,,,,
"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",,,,,,,,
Un-Aided Autonomous CAP Seats:48,,,,,,,,
Choice Code Course Name SI MS Seats Minority Seats,All India,,,,,Institute Seats,,Orphan
0111419110 Civil Engineering 60 39 0,9,,,,,12,,0
Category OPEN SC ST VJ/DT NTB NTC,NTD,,,OBC,,SEBC,,Total
General / Ladies G L G L G L G L G L G L G,L,,G,,L,G,L,G + L
State Level 10 4 3 2 2 1 1 0 0 1 0 1 0,1,,5,,2,3,1,37
PWD 1 0 0 0 0 0,0,,,0,,0,,1
PWD Common Reserved Seats : 1,,,,,,,,
DEF 1 0 0 0 0 0,0,,,0,,0,,1
DEF Common Reserved Seats : 1,,,,,,,,
Economically Weaker Section (EWS) Seats: 6 Tution Fee Waiver Scheme Choice Code: 0111419111T :,,,,Seats: 3,,,,
"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",,,,,,,,
Un-Aided Autonomous CAP Seats:144,,,,,,,,
Choice Code Course Name SI MS Seats Minority Seats,All India,,,,,Institute Seats,,Orphan
0111424210 Computer Science and Engineering 180 117 0,27,,,,,36,,1
Category OPEN SC ST VJ/DT NTB NTC,NTD,,,OBC,,SEBC,,Total
General / Ladies G L G L G L G L G L G L G,L,,G,,L,G,L,G + L
State Level 30 13 9 4 6 2 2 2 2 0 3 1 2,0,,14,,6,7,3,106
PWD 2 1 0 0 0 0,0,,,1,,1,,5
PWD Common Reserved Seats : 1,,,,,,,,
DEF 2 1 0 0 0 0,0,,,1,,1,,5
DEF Common Reserved Seats : 1,,,,,,,,
Economically Weaker Section (EWS) Seats: 18 Tution Fee Waiver Scheme Choice Code: 0111424211T :,,,,Seats: 9,,,,
"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",,,,,,,,
Un-Aided Autonomous CAP Seats:96,,,,,,,,
Choice Code Course Name SI MS Seats Minority Seats,All India,,,,,Institute Seats,,Orphan
0111424610 Information Technology 120 78 0,18,,,,,24,,1
Category OPEN SC ST VJ/DT NTB NTC,NTD,,,OBC,,SEBC,,Total
General / Ladies G L G L G L G L G L G L G,L,,G,,L,G,L,G + L
State Level 19 8 6 2 3 2 2 0 1 1 2 0 1,1,,9,,4,5,3,69
PWD 2 1 0 0 0 0,0,,,1,,0,,4
PWD Common Reserved Seats : 0,,,,,,,,
DEF 2 1 0 0 0 0,0,,,1,,0,,4
DEF Common Reserved Seats : 0,,,,,,,,
Economically Weaker Section (EWS) Seats: 12 Tution Fee Waiver Scheme Choice Code: 0111424611T :,,,,Seats: 6,,,,
"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",,,,,,,,
Un-Aided Autonomous CAP Seats:48,,,,,,,,
Choice Code Course Name SI MS Seats Minority Seats,All India,,,,,Institute Seats,,Orphan
0111426310 Artificial Intelligence (AI) and Data Science 60 39 0,9,,,,,12,,0
Category OPEN SC ST VJ/DT NTB NTC,NTD,,,OBC,,SEBC,,Total
General / Ladies G L G L G L G L G L G L G,L,,G,,L,G,L,G + L
State Level 10 4 4 1 2 1 0 1 1 0 0 1 1,0,,5,,2,3,1,37
PWD 1 0 0 0 0 0,0,,,0,,0,,1
PWD Common Reserved Seats : 1,,,,,,,,
DEF 1 0 0 0 0 0,0,,,0,,0,,1
DEF Common Reserved Seats : 1,,,,,,,,
Economically Weaker Section (EWS) Seats: 6 Tution Fee Waiver Scheme Choice Code: 0111426311T :,,,,Seats: 3,,,,
"01114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",,,,,,,,
Un-Aided Autonomous CAP Seats:96,,,,,,,,
Choice Code Course Name SI MS Seats Minority Seats,All India,,,,,Institute Seats,,Orphan
0111437210 Electronics and Telecommunication Engg 120 78 0,18,,,,,24,,1
Category OPEN SC ST VJ/DT NTB NTC,NTD,,,OBC,,SEBC,,Total
General / Ladies G L G L G L G L G L G L G,L,,G,,L,G,L,G + L
State Level 19 8 5 3 4 2 3 0 1 1 2 1 1,0,,8,,4,5,2,69
PWD 2 1 0 0 0 0,0,,,1,,0,,4
PWD Common Reserved Seats : 0,,,,,,,,
DEF 2 1 0 0 0 0,0,,,1,,0,,4
DEF Common Reserved Seats : 0,,,,,,,,
